id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price_median,status,levels,dormitory_type,condition_type,date-age,dif
121029034,2014-06-24,549000.0,2,1.0,2034,13392,1.0,1,4,5,7,1159.0,875,1947,0,98070,47.3312,-122.503,1156,15961,463750.0,não compra,Level 2,apart_or_house,good,old_house,-18.38
5215200010,2014-06-26,663000.0,3,2.5,2480,37843,1.5,1,3,4,8,2480.0,0,1974,0,98070,47.4003,-122.422,2350,42122,463750.0,não compra,Level 3,apart_or_house,regular,old_house,-42.96
1822039138,2015-02-27,600000.0,2,2.25,2320,18919,2.0,1,4,4,8,2320.0,0,1976,0,98070,47.3905,-122.462,1610,18919,463750.0,não compra,Level 2,apart_or_house,regular,old_house,-29.38
2623029003,2014-12-16,635000.0,3,1.75,1940,167125,1.0,1,1,4,7,1480.0,460,1955,0,98070,47.459,-122.504,1910,127195,463750.0,não compra,Level 2,apart_or_house,regular,old_house,-36.93
7558800620,2014-08-22,600000.0,2,1.75,1550,7764,1.0,1,4,4,8,1550.0,0,1965,1986,98070,47.358,-122.446,1690,11620,463750.0,não compra,Level 2,apart_or_house,regular,old_house,-29.38
2423029009,2014-06-17,465000.0,2,2.0,1494,19271,2.0,1,4,3,7,1494.0,0,1943,1997,98070,47.4728,-122.497,1494,43583,463750.0,não compra,Level 2,apart_or_house,regular,old_house,-0.27
3022039071,2014-05-30,800000.0,2,2.25,1730,31491,2.0,1,2,4,7,1730.0,0,1947,1988,98070,47.373,-122.464,1400,12410,463750.0,não compra,Level 3,apart_or_house,regular,old_house,-72.51
5215200050,2014-07-29,750000.0,3,2.5,2960,69351,2.0,1,3,4,9,2960.0,0,1990,0,98070,47.4,-122.42,2350,41433,463750.0,não compra,Level 3,apart_or_house,regular,old_house,-61.73
7003200120,2014-06-27,528000.0,2,0.75,840,40642,1.0,1,4,4,6,840.0,0,1937,0,98070,47.404,-122.447,1850,64069,463750.0,não compra,Level 2,apart_or_house,regular,old_house,-13.85
594000115,2014-05-12,615000.0,2,1.75,2040,28593,1.5,1,3,4,7,2040.0,0,1919,1990,98070,47.3979,-122.465,2040,35124,463750.0,não compra,Level 2,apart_or_house,regular,old_house,-32.61
1724069062,2014-07-14,1365000.0,2,3.25,2700,3444,3.0,1,3,3,9,2700.0,0,1990,0,98075,47.5684,-122.06,2710,3444,739999.0,não compra,Level 3,apart_or_house,regular,old_house,-84.46
1724069079,2015-03-19,1452000.0,2,3.25,2070,3128,2.0,1,3,3,9,1760.0,310,1988,0,98075,47.5686,-122.06,2740,3568,739999.0,não compra,Level 3,apart_or_house,regular,old_house,-96.22
724069023,2015-04-14,1247000.0,1,1.25,1810,5070,1.5,1,4,4,8,1230.0,580,1967,0,98075,47.5814,-122.081,2280,5070,739999.0,não compra,Level 3,studio,regular,old_house,-68.51
1724069060,2015-05-07,1075000.0,2,3.25,1550,1767,3.0,1,3,3,8,1550.0,0,2006,0,98075,47.5684,-122.06,2710,3444,739999.0,não compra,Level 3,apart_or_house,regular,old_house,-45.27
3343301910,2014-10-20,1000000.0,5,4.5,2120,8944,2.0,1,4,5,8,2120.0,0,1939,1963,98006,47.5488,-122.197,2870,8944,760184.5,não compra,Level 3,house,good,old_house,-31.55
2425049063,2014-09-11,3640900.0,4,3.25,4830,22257,2.0,1,4,4,11,4830.0,0,1990,0,98039,47.6409,-122.241,3820,25582,1892500.0,não compra,Level 3,house,regular,old_house,-92.39
